MISSING COMPONENT REFERENCES REPORT (BY TYPE)
Generated: 2026-01-21 17:02:16

This report groups all unique missing component references by type.
Each entry shows the component name and how many times it was missing.

====================================================================================================

TYPE: transfer
--------------------------------------------------------------------------------
Missing Component                                                              | Occurrences
---------------------------------------------------------------------------------------------
"Activity to Remota Lodge Remota Lodge"                                        | 24
"Remota Lodge to Activity Remota Lodge"                                        | 24
"Activity to Ushuaia Hotel H&T"                                                | 18
"Ushuaia Hotel to Activity H&T"                                                | 18
"El Chaltén Hotel to Activity H&T Driver Only"                                 | 15
"Activity to El Chaltén Hotel H&T"                                             | 14
"Activity to Tierra Atacama Tierra Guided"                                     | 11
"Tierra Patagonia to Activity Tierra"                                          | 11
"Activity to Tierra Patagonia Tierra"                                          | 9
"Tierra Atacama to Activity Tierra Guided"                                     | 9
"Activity to Bariloche Andestrack Guided"                                      | 5
"Bariloche to Activity Andestrack Guided"                                      | 5
"Remota Lodge to Puerto Natales Remota Lodge Driver Only"                      | 5
"Activity to Río Hermoso Lodge Andestrack"                                     | 4
"Río Hermoso Lodge to Activity Andestrack"                                     | 4
"Beagle Channel to Errante Ecolodge Errante Ecolodge Driver Only"              | 3
"Activity to Errante Ecolodge Errante Ecolodge Driver Only"                    | 2
"Errante Ecolodge to Activity Errante Ecolodge Driver Only"                    | 2
"Errante Ecolodge to Beagle Channel Errante Ecolodge Driver Only"              | 2
"Lago Pehoé: Pudeto Dock to Paine Grande Dock Hotel Río Serrano"               | 2
"Lago Pehoé: Pudeto Dock to Paine Grande Dock Remota Lodge"                    | 2
"Puerto Natales to Remota Lodge Remota Lodge Driver Only"                      | 2
"Activity to Aguas Arriba Lodge Aguas Arriba Lodge"                            | 1
"Activity to Cataratas/Puerto Iguazú Hotel H&T"                                | 1
"Activity to Puerto Iguazu (IGR) H&T"                                          | 1
"Aguas Arriba Lodge to Activity Aguas Arriba Lodge"                            | 1
"Altas Hike to Hotel Ultimo Paraiso Senderos Patagonia Aysén"                  | 1
"Aviles Hike to Hotel Ultimo Paraiso Senderos Patagonia Aysén"                 | 1
"Awasi Atacama to El Tatio Geysers"                                            | 1
"Beagle Channel Biking"                                                        | 1
"Cataratas/Puerto Iguazú Hotel to Activity H&T"                                | 1
"Errante Ecolodge to Omora Ethnobotanical Park Errante Ecolodge Driver Only"   | 1
"Errante Ecolodge to Puerto Navarino Errante Ecolodge Driver Only"             | 1
"Errante Ecolodge to Puerto Williams Errante Ecolodge Driver Only"             | 1
"Hotel Ultimo Paraiso to Altas Hike Senderos Patagonia Aysén"                  | 1
"Hotel Ultimo Paraiso to Aviles Hike Senderos Patagonia Aysén"                 | 1
"Lago Pehoé: Paine Grande Dock to Pudeto Dock Tierra Patagonia"                | 1
"Lago Pehoé: Pudeto Dock to Paine Grande Dock Tierra Patagonia"                | 1
"Mallín Colorado to Puerto Bertrand Senderos Patagonia Aysén"                  | 1
"Omora Ethnobotanical Park to Errante Ecolodge Errante Ecolodge Driver Only"   | 1
"Puerto Betrand to Cochrane Senderos Patagonia Aysén"                          | 1
"Puerto Iguazu (IGR) to Activity H&T"                                          | 1
"Puerto Navarino to Errante Ecolodge Errante Ecolodge Driver Only"             | 1
"Puerto Williams to Errante Ecolodge Errante Ecolodge Driver Only"             | 1

TYPE: activity
--------------------------------------------------------------------------------
Missing Component                                                          | Occurrences
-----------------------------------------------------------------------------------------
"Cerro Torre Viewpoint Hike"                                               | 4
"End of the World Train Station and Tierra del Fuego National Park Walk"   | 2
"Blugrin - Cochrane River and Lake"                                        | 1
"Cochrane River"                                                           | 1
"Errante Ecolodge to Beagle Channel Errante Ecolodge Driver Only"          | 1
"Laguna Torre Hike"                                                        | 1
