Name,Description,Description (with html),Override url,Type,NEW CUSTOM ADDRESS/WHAT3WORDS,Image 1,Latitude,Longitude,Destination,Region,Region 2,Image 2,Image 3,Image 4,Image 5
Aguas Arriba Lodge,"Only accessible by boat or a 3 hour hike through the surrounding forest, Aguas Arriba is a secluded lodge on the shore of Lago del Desierto. The lodge has a homely feel with lovely hosts and only 6 rooms, and it is a wonderful place to relax whilst enjoying spectacular views of Mt. Fitz Roy, Mt. Torre and Glaciar Vespignani. Excursions on offer include trekking, boat trips and fly fishing. See our page on Aguas Arriba Lodge to find out more.","<p>Only accessible by boat or a 3 hour hike through the surrounding forest, Aguas Arriba is a secluded lodge on the shore of Lago del Desierto. The lodge has a homely feel with lovely hosts and only 6 rooms, and it is a wonderful place to relax whilst enjoying spectacular views of Mt. Fitz Roy, Mt. Torre and Glaciar Vespignani. Excursions on offer include trekking, boat trips and fly fishing.</p>↵<p>See our page on <a href=""/aguas-arriba-lodge/"">Aguas Arriba Lodge</a> to find out more.</p>",argentina/los-glaciares/el-chalten/aguas-arriba,Lodge,"Ruta Provincial N 23, km 130, Lago del Desierto - Valle del Rio de las Vueltas, El Chaltén",https://imgix.swoop-patagonia.com/kayaks.jpg,-49.04812,-72.86538,Patagonia,Los Glaciares,,https://imgix.swoop-patagonia.com/aa1.jpg,,,
Aguja Pollone,"Aguja Pollone, meaning the Pollone Needle, is a granite spire which can be seen in front of Mount Fizt Roy from the viewpoint at Laguna Pollone, just off the Electrico Valley.","<p>Aguja Pollone, meaning the Pollone Needle, is a granite spire which can be seen in front of Mount Fizt Roy from the viewpoint at Laguna Pollone, just off the Electrico Valley.</p>",argentina/los-glaciares/el-chalten/aguja-pollone,Mountain,,,-49.25147,-73.07047,Patagonia,Los Glaciares,,,,,
Ainsworth Bay,"A beautiful isolated bay in the Almirantazgo Sound, Ainsworth Bay is found along the fjords of the Chilean coast and can be visited on board an adventure cruise . At Ainsworth Bay you can see the retreating Marinelli Glacier and watch elephant seals on the beaches. This is a difficult place to reach by any means other than by boat, and it is one of the most pristine and secluded spots to visit in this part of Chilean Patagonia.","<p>A beautiful isolated bay in the Almirantazgo Sound, Ainsworth Bay is found along the fjords of the Chilean coast and can be visited on board an&nbsp;<a href=""/patagonia/cruises/"">adventure cruise</a><a href=""http://www.swoop-patagonia.co.uk/patagonia/cruises/"" target=""_self""></a>.&nbsp;</p>↵<p>At Ainsworth Bay you can see the retreating Marinelli Glacier and watch elephant seals on the beaches. This is a difficult place to reach by any means other than by boat, and it is one of the most pristine and secluded spots to visit in this part of Chilean Patagonia.</p>",regions/tierra-del-fuego/ainsworth-bay,Bay,,https://imgix.swoop-patagonia.com/Bahia_Ainsworth.jpg,-54.39175,-69.59054,Patagonia,Tierra del Fuego,,,,,
"Almirante Marcos A. Zar Airport (REL), Trelew","Trelew is an industrial city, but its airport receives daily flights from Buenos Aeres and it serves Puerto Madryn and the wildlife reserve of Peninsula Valdes.","<p>Trelew is an industrial city, but its airport receives daily flights from Buenos Aeres and it serves Puerto Madryn and the wildlife reserve of Peninsula Valdes.</p>",argentina/peninsula-valdes/trelew-airport,Airport,"Ruta Nacional N°3 s/n, U9100 Trelew, República Argentina",,-43.23759,-65.32631,Patagonia,Welsh Patagonia and Ruta 40,,,,,
Altair Winery,"Altair vineyard, is located close to the town of Requinoa. The main factors that give character and complexity to their wine are their proximity to the mountains and the cool breezes that come down causing a natural temperature in the vineyard of 25 degrees and up, allowing them to extend the natural maturation of the fruit on the vine.","<p>Altair vineyard, is located close to the town of Requinoa. The main factors that give character and complexity to their wine are their proximity to the mountains and the cool breezes that come down causing a natural temperature in the vineyard of 25 degrees and up, allowing them to extend the natural maturation of the fruit on the vine.</p>",chile/santiago/altair-winery,Vineyard,,,-34.289,-70.816,Patagonia,Santiago and Central Chile,,,,,
Amalia Glacier,"The Amalia or Skua Glacier is found in Bernardo O'Higgins National Park, and comes down from the Southern Patagonian Ice Field. It is a retreating glacier and is receding at an incredibly fast past compared with other glaciers in the region. This glacier partially surrounds Reclus Volcano and erodes its northern flank. The glacier is accessed by boat or, for the more adventurous explorers, by kayak.","<p>The Amalia or Skua Glacier is found in Bernardo O'Higgins National Park, and comes down from the Southern Patagonian Ice Field. It is a retreating glacier and is receding at an incredibly fast past compared with other glaciers in the region. This glacier partially surrounds Reclus Volcano and erodes its northern flank. The glacier is accessed by boat or, for the more adventurous explorers, by kayak.</p>",chile/torres-del-paine/amalia-glacier,Glacier,,,-50.91379,-73.60131,Patagonia,Torres del Paine,,,,,
Ancud,"The capital of the Island of Chiloe, Ancud is a city which was visited on 28th June 28, 1834 by Charles Darwin during the Second voyage of HMS Beagle. The population here is rural and survives mainly from fishing. Find out about volunteering on a local farm in this region.","<p>The capital of the Island of Chiloe, Ancud is a city which was visited on 28th June 28, 1834 by Charles Darwin during the Second voyage of HMS Beagle. The population here is rural and survives mainly from fishing. Find out about volunteering on a local farm in this region.</p>",chile/lake-district/chiloe/ancud,City,,,-41.86664,-73.82831,Patagonia,Chilean Lakes,,,,,
Antillanca,"A group of stratovolcanoes, the most prominent of which is Volcan Casablanca.","<p>A group of stratovolcanoes, the most prominent of which is Volcan Casablanca.</p>",argentina/lake-district/antillanca,Volcano,,,-40.7769,-72.15527,Patagonia,Chilean Lakes,,,,,
Antonio Veras Peninsula,A sparsley populated peninsula close to Puerto Natales.,<p>A sparsley populated peninsula close to Puerto Natales.</p>,,Peninsula,,,-51.69391,-72.80866,Patagonia,Torres del Paine,,,,,
Aonikenk Trail,"The Aonikenk Trail leads across an open landscape with panoramic views, to a collection of Aonikenk Indian paintings on rocks.","<p>The Aonikenk Trail leads across an open landscape with panoramic views, to a collection of Aonikenk Indian paintings on rocks.</p>",,Trailhead,,,-51.01985,-72.80477,Patagonia,Torres del Paine,,,,,
Archipeliago Calbuco,A collection of islands in the Reloncavi Sound in Llanquihue province.,<p>A collection of islands in the Reloncavi Sound in Llanquihue province.</p>,chile/lake-district/calbuco,Island,,,-41.82026,-73.04076,Patagonia,Chilean Lakes,,,,,
Archipielago de los Chonos,"This is a collection of islands just South of Chiloe, which can be seen from aboard your ship on an adventure cruise to this region.","<p>This is a collection of islands just South of Chiloe, which can be seen from aboard your ship on an adventure cruise to this region.</p>",chile/aysen/chonos,Island,,,-44.277176,-74.020984,Patagonia,Aysen,,,,,
Arco Iris Mirador,Lookout point in the Cochamo valley - with wonderful views of the granite mountains. Find out more about this beautiful valley on our Patagonia Chile page.,<p>Lookout point in the Cochamo valley - with wonderful views of the granite mountains. Find out more about this beautiful valley on our Patagonia Chile page.</p>,chile/lake-district/mirador,Viewpoint,,,-41.35361845,-72.08404541,Patagonia,Chilean Lakes,,,,,
